sentence_nr;txt;layer
1;Керпеч инлала игье;orig
1;kerpeč inla=la ih-e;morph
1;brick how=CQ make-HAB;gloss
1;Как сделать кирпич;trans_ru
2;Керпеч букъи буккала, гьечIи ссеъа унщи хварде, ехха бехутIу лълъенила тIинду биччи бигъай амал игье.;orig
2;kerpeč b-uq-i	b-ukː-ala heč'i sːeʔa unšːi χʷard-e eχːa b-eχut'u ɬːeni=la t'ind-u bičːi b-iʁ-a-j amal ih-e;morph
2;brick N-cut-INF N-fall-COND most before.ALL soil dig-HAB then N-behind water=ADD pour-CVB clay N-mix-CAUS-INF CAUS.AUX make-HAB;gloss	
2;Чтобы резать кирпич в первую очередь копают землю, потом наливают воду и делается глина.;trans_ru
3;Биччи бигъаата-кIо ригьуди бакьа никкула бигье.;orig
3;Когда мешают глину, тогда смешивают/ссыпают солому.;trans_ru
4;Эхха гьеъала рулIу биччи цIекIабалъиди мерхьу булIа-риуди тIоргуда биччи данда игье.;orig
4;Потом ногами топчут эту глину. После окончания всю глину собирают в одном месте.;trans_ru
5;Керпеч букъихо адамиди кепла ибху керпеч букъе.;orig
5;Человек, который режет кирпич, имеет с собой форму и режет кирпич.;trans_ru
6;Керпеч букъихо адамий кумак игье цевла гьекIващуди.;orig
6;Человеку, который режет кирпич, помогает еще один человек.;trans_ru
7;Гьув гьекIващуди биччи бекьара барлIе.;orig
7;Этот другой человек подносит глину поближе.;trans_ru
8;Керпеч букъихо адамиди кепилъи гьину биччила букIо реъабалъиди биччи тIибдай амал игье.;orig
8;Человек, который режет кирпич, кладет в форму глину, затем руками давит эту глину.;trans_ru
9;Эхха кепла гьирцIо гъижихи букIай амале.;orig
9;Потом берет эту форму, поднимает на плечи.;trans_ru
10;КIейхоб букхата-кIо ригьуди чинкурла ибху кеп гьинуку аржай букке.;orig
10;Когда режет второй кирпич, берет тряпку и смачивает форму изнутри.;trans_ru
11;Гьула букъе эргади керпеч.;orig
11;Вот так режут по очереди кирпичи.;trans_ru
12;Букъу булъариуди керпеч букъуй бете, эхха уда — ара ссардай амал игье бекъа бекъуI-талу.;orig
12;После резки кирпичи оставляют сохнуть, потом поворачивают то на один бок, то на другой для сушки.;trans_ru
